world_cup_year,match_id,source_match_id,stage,group_name,match_date,home_team,away_team,stadium,city,host_country,attendance,stadium_capacity,final_flag,extra_time_flag,penalty_flag,attendance_status,metadata_source_url,attendance_source_url
2010,2010_01,M-2010-01,group stage,Group A,2010-06-11,South Africa,Mexico,Soccer City,Johannesburg,South Africa,84490.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_02,M-2010-02,group stage,Group A,2010-06-11,Uruguay,France,Cape Town Stadium,Cape Town,South Africa,64100.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_03,M-2010-03,group stage,Group B,2010-06-12,South Korea,Greece,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,31513.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_04,M-2010-04,group stage,Group B,2010-06-12,Argentina,Nigeria,Ellis Park Stadium,Johannesburg,South Africa,55686.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_05,M-2010-05,group stage,Group C,2010-06-12,England,United States,Royal Bafokeng Stadium,Rustenburg,South Africa,38646.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_06,M-2010-06,group stage,Group C,2010-06-13,Algeria,Slovenia,Peter Mokaba Stadium,Polokwane,South Africa,30325.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_07,M-2010-07,group stage,Group D,2010-06-13,Serbia,Ghana,Loftus Versfeld Stadium,Pretoria,South Africa,38833.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_08,M-2010-08,group stage,Group D,2010-06-13,Germany,Australia,Moses Mabhida Stadium,Durban,South Africa,62660.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_09,M-2010-09,group stage,Group E,2010-06-14,Netherlands,Denmark,Soccer City,Johannesburg,South Africa,83465.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_10,M-2010-10,group stage,Group E,2010-06-14,Japan,Cameroon,Free State Stadium,Bloemfontein,South Africa,30620.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_11,M-2010-11,group stage,Group F,2010-06-14,Italy,Paraguay,Cape Town Stadium,Cape Town,South Africa,62869.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_12,M-2010-12,group stage,Group F,2010-06-15,New Zealand,Slovakia,Royal Bafokeng Stadium,Rustenburg,South Africa,23871.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_13,M-2010-13,group stage,Group G,2010-06-15,Ivory Coast,Portugal,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,37034.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_14,M-2010-14,group stage,Group G,2010-06-15,Brazil,North Korea,Ellis Park Stadium,Johannesburg,South Africa,54331.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_15,M-2010-15,group stage,Group H,2010-06-16,Honduras,Chile,Mbombela Stadium,Nelspruit,South Africa,32664.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_16,M-2010-16,group stage,Group H,2010-06-16,Spain,Switzerland,Moses Mabhida Stadium,Durban,South Africa,62453.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_17,M-2010-17,group stage,Group A,2010-06-16,South Africa,Uruguay,Loftus Versfeld Stadium,Pretoria,South Africa,42658.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_18,M-2010-18,group stage,Group B,2010-06-17,Argentina,South Korea,Soccer City,Johannesburg,South Africa,82174.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_19,M-2010-19,group stage,Group B,2010-06-17,Greece,Nigeria,Free State Stadium,Bloemfontein,South Africa,31593.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_20,M-2010-20,group stage,Group A,2010-06-17,France,Mexico,Peter Mokaba Stadium,Polokwane,South Africa,35370.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_21,M-2010-21,group stage,Group D,2010-06-18,Germany,Serbia,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,38294.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_22,M-2010-22,group stage,Group C,2010-06-18,Slovenia,United States,Ellis Park Stadium,Johannesburg,South Africa,45573.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_23,M-2010-23,group stage,Group C,2010-06-18,England,Algeria,Cape Town Stadium,Cape Town,South Africa,64100.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
